,Product_Name,orgprice,Price,Processor,Battry_Type,Ratings,No_ratings,No_reviews,Warrenty,Colour,Battery,RAM,ROM,Display,Rear_cam
355,POCO M3 ,"12,999","10,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Cool Blue,6000 ,6 , 64 , 6.53 ,48 
356,REDMI Note 9 ,"14,999","10,999", Helio G85 ,MediaTek,4.4,"31,861","2,379 ", 6 , Pebble Grey,5020 ,4 , 64 , 6.53 ,48 
357,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Grey,5000 ,2 , 32 , 6.5 ,8 
358,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Blue,5000 ,2 , 32 , 6.5 ,8 
359,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Cool Blue,6000 ,6 , 128 , 6.53 ,48 
360,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,956","2,677 ", 6 , Laser Blue,6000 ,4 , 64 , 6.51 ,13 
361,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,956","2,677 ", 6 , Laser Black,6000 ,4 , 64 , 6.51 ,13 
362,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,813","1,956 ", 6 , Laser Black,6000 ,3 , 32 , 6.51 ,13 
363,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,813","1,956 ", 6 , Laser Blue,6000 ,3 , 32 , 6.51 ,13 
364,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,273 ", 1 , Midnight Black,5000 ,4 , 64 , 6.53 ,13 
365,OPPO A53 ,"17,990","12,990", Snapdragon 460 ,Qualcomm,4.4,"8,931",511 , 1 , Mint Cream,5000 ,6 , 128 , 6.5 ,13 
366,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,604 ", 6 , Blazing Blue,6000 ,4 , 64 , 6.53 ,48 
367,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,604 ", 6 , Electric Green,6000 ,4 , 64 , 6.53 ,48 
368,realme Narzo 20 ,"12,999","10,499", Helio G85 ,MediaTek,4.3,"4,17,355","32,448 ", 1 , Glory Silver,6000 ,4 , 64 , 6.52 ,48 
369,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,273 ", 1 , Sea Blue,5000 ,4 , 64 , 6.53 ,13 
370,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Power Black,6000 ,6 , 128 , 6.53 ,48 
371,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,355","32,448 ", 1 , Victory Blue,6000 ,4 , 128 , 6.52 ,48 
372,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,355","32,448 ", 1 , Glory Silver,6000 ,4 , 128 , 6.52 ,48 
373,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,604 ", 6 , Mighty Black,6000 ,4 , 64 , 6.53 ,48 
374,Infinix Hot 10 Play ,"10,999","8,499", Helio G35 ,MediaTek,4.3,"9,768",752 , 6 , Aegean Blue,6000 ,4 , 64 , 6.82 ,13 
375,POCO C3 ,"10,999","8,499", Helio G35 ,Mediatek,4.3,"1,64,922","10,275 ", 6 , Arctic Blue,5000 ,4 , 64 , 6.53 ,13 
376,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Ocean Wave,6000 ,3 , 32 , 6.82 ,13 
377,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Quetzal Cyan,6000 ,3 , 32 , 6.82 ,13 
378,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Midnight Black,6000 ,3 , 32 , 6.82 ,13 
379,POCO M3 ,"12,999","10,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Cool Blue,6000 ,6 , 64 , 6.53 ,48 
380,REDMI Note 9 ,"14,999","10,999", Helio G85 ,MediaTek,4.4,"31,861","2,379 ", 6 , Pebble Grey,5020 ,4 , 64 , 6.53 ,48 
381,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Grey,5000 ,2 , 32 , 6.5 ,8 
382,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Blue,5000 ,2 , 32 , 6.5 ,8 
383,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Cool Blue,6000 ,6 , 128 , 6.53 ,48 
384,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,955","2,673 ", 6 , Laser Blue,6000 ,4 , 64 , 6.51 ,13 
385,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,955","2,673 ", 6 , Laser Black,6000 ,4 , 64 , 6.51 ,13 
386,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,812","1,948 ", 6 , Laser Blue,6000 ,3 , 32 , 6.51 ,13 
387,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,812","1,948 ", 6 , Laser Black,6000 ,3 , 32 , 6.51 ,13 
388,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,589","16,263 ", 1 , Midnight Black,5000 ,4 , 64 , 6.53 ,13 
389,OPPO A53 ,"17,990","12,990", Snapdragon 460 ,Qualcomm,4.4,"8,929",515 , 1 , Mint Cream,5000 ,6 , 128 , 6.5 ,13 
390,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,601 ", 6 , Blazing Blue,6000 ,4 , 64 , 6.53 ,48 
391,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,601 ", 6 , Electric Green,6000 ,4 , 64 , 6.53 ,48 
392,realme Narzo 20 ,"12,999","10,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Glory Silver,6000 ,4 , 64 , 6.52 ,48 
393,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,589","16,263 ", 1 , Sea Blue,5000 ,4 , 64 , 6.53 ,13 
394,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,620","10,104 ", 6 , Power Black,6000 ,6 , 128 , 6.53 ,48 
395,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Victory Blue,6000 ,4 , 128 , 6.52 ,48 
396,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Glory Silver,6000 ,4 , 128 , 6.52 ,48 
397,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,601 ", 6 , Mighty Black,6000 ,4 , 64 , 6.53 ,48 
398,Infinix Hot 10 Play ,"10,999","8,499", Helio G35 ,MediaTek,4.3,"9,766",766 , 6 , Aegean Blue,6000 ,4 , 64 , 6.82 ,13 
399,POCO C3 ,"10,999","8,499", Helio G35 ,Mediatek,4.3,"1,64,917","10,269 ", 6 , Arctic Blue,5000 ,4 , 64 , 6.53 ,13 
400,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,579","13,338 ", 6 , Midnight Black,6000 ,3 , 32 , 6.82 ,13 
